;id;city;match_date;season;match_number;team1;team2;venue;toss_winner;toss_decision;superover;winning_team;won_by;margin;method;player_of_match;umpire1;umpire2
125;1254066;Chennai;2021-04-17;2021;9;Mumbai Indians;Sunrisers Hyderabad;MA Chidambaram Stadium- Chepauk- Chennai;Mumbai Indians;bat;N;Mumbai Indians;Runs;13.0;;KA Pollard;CB Gaffaney;K Srinivasan
129;1254062;Chennai;2021-04-13;2021;5;Mumbai Indians;Kolkata Knight Riders;MA Chidambaram Stadium- Chepauk- Chennai;Kolkata Knight Riders;field;N;Mumbai Indians;Runs;10.0;;RD Chahar;C Shamshuddin;CB Gaffaney
197;1181764;Chennai;2019-05-07;2019;Qualifier;Chennai Super Kings;Mumbai Indians;MA Chidambaram Stadium;Chennai Super Kings;bat;N;Mumbai Indians;Wickets;6.0;;SA Yadav;NJ Llong;Nitin Menon
210;1178419;Chennai;2019-04-26;2019;44;Mumbai Indians;Chennai Super Kings;MA Chidambaram Stadium;Chennai Super Kings;field;N;Mumbai Indians;Runs;46.0;;RG Sharma;AK Chaudhary;NJ Llong
450;829789;Chennai;2015-05-08;2015;43;Chennai Super Kings;Mumbai Indians;MA Chidambaram Stadium- Chepauk;Chennai Super Kings;bat;N;Mumbai Indians;Wickets;6.0;;HH Pandya;CB Gaffaney;CK Nandan
623;598002;Chennai;2013-04-06;2013;5;Chennai Super Kings;Mumbai Indians;MA Chidambaram Stadium- Chepauk;Mumbai Indians;bat;N;Mumbai Indians;Runs;9.0;;KA Pollard;M Erasmus;VA Kulkarni
701;548306;Chennai;2012-04-04;2012;1;Chennai Super Kings;Mumbai Indians;MA Chidambaram Stadium- Chepauk;Mumbai Indians;field;N;Mumbai Indians;Wickets;8.0;;RE Levi;JD Cloete;SJA Taufel
